Inspection Date,Zip,Failed
2024-12-03,60620,1
2024-12-03,60617,0
2024-12-02,60608,0
2024-11-29,60647,0
2024-11-27,60630,0
2024-11-27,60661,0
2024-11-27,60619,0
2024-11-26,60639,0
2024-11-26,60606,0
2024-11-26,60605,0
2024-11-26,60616,1
2024-11-26,60659,0
2024-11-26,60629,0
2024-11-26,60622,0
2024-11-26,60640,0
2024-11-26,60607,0
2024-11-26,60614,0
2024-11-25,60606,0
2024-11-25,60639,0
2024-11-25,60616,0
2024-11-25,60614,0
2024-11-25,60625,0
2024-11-22,60617,0
2024-11-25,60622,0
2024-11-22,60610,0
2024-11-22,60652,0
2024-11-22,60624,0
2024-11-21,60620,1
2024-11-21,60623,0
2024-11-21,60607,0
2024-11-20,60659,0
2024-11-20,60659,0
2024-11-20,60618,0
2024-11-20,60660,0
2024-11-20,60616,0
2024-11-20,60643,0
2024-11-19,60608,0
2024-11-19,60607,0
2024-11-19,60640,0
2024-11-19,60660,0
2024-11-19,60607,0
2024-11-19,60651,0
2024-11-19,60613,0
2024-11-19,60622,0
2024-11-19,60607,0
2024-11-19,60625,0
2024-11-19,60618,0
2024-11-19,60614,0
2024-11-19,60639,0
2024-11-18,60604,1
2024-11-19,60647,0
2024-11-19,60647,0
2024-11-18,60647,0
2024-11-18,60626,0
2024-11-18,60644,0
2024-11-18,60645,0
2024-11-18,60659,0
2024-11-18,60660,1
2024-11-18,60602,0
2024-11-18,60618,0
2024-11-18,60603,0
2024-11-18,60606,0
2024-11-18,60617,0
2024-11-18,60647,0
2024-11-18,60618,0
2024-11-18,60616,0
2024-11-18,60616,0
2024-11-15,60628,0
2024-11-15,60619,0
2024-11-15,60619,0
2024-11-15,60608,0
2024-11-15,60622,0
2024-11-15,60610,0
2019-01-03,60623,0
2024-11-15,60622,0
2019-01-04,60605,0
2019-01-09,60604,0
2019-01-10,60615,1
2019-01-14,60628,0
2019-01-15,60647,0
2024-11-14,60623,0
2019-01-17,60613,0
2019-01-18,60602,0
2024-11-14,60661,0
2024-11-14,60623,0
2019-01-18,60630,1
2019-03-25,60630,1
2024-11-14,60608,0
2024-11-14,60643,0
2019-04-08,60707,0
2019-04-09,60616,0
2019-04-09,60613,1
2024-11-14,60614,0
2024-11-13,60615,0
2024-11-13,60649,0
2024-11-13,60642,0
2024-11-13,60604,0
2019-04-17,60661,0
2024-11-13,60616,0
2024-11-13,60634,0
2024-11-13,60616,0
2024-11-13,60645,0
2019-04-26,60657,0
2019-04-29,60647,1
2024-11-13,60616,0
2019-05-08,60622,0
2019-05-14,60622,0
2019-05-17,60659,0
2024-11-13,60629,0
2019-05-20,60628,1
2024-11-13,60629,0
2024-11-13,60625,0
2024-11-13,60623,0
2019-05-23,60618,1
2019-05-23,60643,1
2019-05-24,60657,0
2024-11-13,60659,0
2019-05-28,60626,1
2019-05-28,60620,0
2019-05-28,60625,0
2024-11-12,60613,0
2019-05-31,60623,0
2019-06-04,60625,0
2019-05-31,60632,1
2024-11-12,60632,0
2024-11-12,60618,0
2024-11-12,60647,0
2024-11-12,60660,0
2024-11-12,60647,0
2019-06-06,60653,1
2019-06-06,60618,0
2024-11-12,60606,0
2024-11-12,60645,0
2019-06-10,60632,0
2019-06-11,60617,0
2019-06-11,60637,0
2024-11-12,60651,0
2024-11-12,60620,0
2019-06-13,60623,0
2024-11-12,60620,0
2024-11-12,60647,0
2019-06-14,60656,0
2019-06-14,60611,0
2019-06-17,60622,0
2019-06-20,60640,0
2019-06-21,60614,0
2019-06-24,60622,0
2019-06-25,60641,0
2024-11-08,60608,0
2019-06-21,60605,0
2019-06-27,60622,1
2019-06-27,60629,1
2024-11-08,60628,0
2024-11-08,60655,0
2019-06-28,60651,1
2019-07-01,60639,0
2019-07-01,60607,0
2019-07-08,60616,0
2019-07-09,60630,0
2019-07-12,60641,0
2024-11-08,60649,0
2019-07-15,60647,0
2019-07-15,60643,0
2019-07-16,60647,0
2024-11-08,60609,0
2019-07-19,60625,0
2019-07-19,60634,0
2024-11-08,60618,1
2024-11-07,60608,0
2019-07-19,60657,0
2024-11-07,60638,0
2024-11-07,60605,0
2019-08-06,60647,0
2019-08-12,60659,0
2024-11-07,60654,0
2024-11-07,60638,0
2024-11-07,60615,0
2019-08-19,60602,1
2024-11-07,60654,0
2024-11-06,60613,0
2024-11-06,60638,0
2019-09-10,60647,1
2019-09-20,60637,1
2024-11-06,60605,0
