Facility Type,Inspection Score,Violation Count,Violation Severity Score,Score_norm,Count_norm,Severity_norm
BANQUET,1.4,5.8,3.1333333333333333,0.8344549125168235,0.2666666666666666,0.5385892116182573
BANQUET HALL,1.2946428571428572,5.857142857142857,3.5357142857142856,0.7025812343780042,0.27142857142857135,0.648784825133373
Bakery,1.256568277651638,6.127148880960104,3.398637690561142,0.654923954530314,0.29392907341334196,0.6112451766681966
CHARTER SCHOOL,1.1346153846153846,4.480769230769231,3.2115384615384617,0.5022776684957035,0.15673076923076923,0.560006383657836
Catering,1.3722563652326603,5.24846356453029,2.9227392449517122,0.799728694032805,0.22070529704419084,0.48091614177100833
Children's Services Facility,1.3492234685073339,4.09792924935289,2.5918895599654874,0.770898823299893,0.12482743744607416,0.39031000397395094
Daycare (2 - 6 Years),1.3469101123595506,3.87312734082397,2.650749063670412,0.7680032361970148,0.10609394506866415,0.40642920415870204
Daycare (Under 2 Years),1.302439024390244,4.04390243902439,2.868292682926829,0.7123395594655813,0.1203252032520325,0.46600546503390344
Daycare Above and Under 2 Years,1.359874826147427,4.297635605006954,2.7385257301808066,0.7842309398615168,0.14146963375057953,0.4304676273524201
Daycare Combo 1586,1.2458233890214798,4.078758949880668,2.988066825775656,0.6414747668774916,0.12322991249005566,0.4988066825775656
GAS STATION,1.086092715231788,6.218543046357616,3.728476821192053,0.44154269874234586,0.3015452538631346,0.7015745651397325
Golden Diner,1.3724832214765101,3.3221476510067114,2.4563758389261743,0.8000126459934784,0.060178970917225905,0.3531983625275001
Grocery Store,1.2020434938178348,5.981274599451358,3.422931658251501,0.5866762439442617,0.28177288328761313,0.6178982964506186
Hospital,1.4271356783919598,5.0201005025125625,3.1557788944723617,0.8684201627247949,0.20167504187604685,0.5447361287766634
LIVE POULTRY,1.1162790697674418,5.77906976744186,3.604651162790698,0.4793264264922219,0.264922480620155,0.6676638039177845
Liquor,0.8338323353293413,4.905688622754491,3.967065868263473,0.12579282887791043,0.19214071856287424,0.7669143041717397
Long Term Care,1.2414174972314507,5.946290143964562,3.4374307862679956,0.6359599898051806,0.27885751199704684,0.621869012007003
Mobile Food Dispenser,0.7333333333333333,3.0727272727272728,3.278787878787879,0.0,0.03939393939393937,0.578423236514523
Mobile Food Preparer,1.0395136778115501,4.445288753799392,2.952887537993921,0.38324053884891196,0.153774062816616,0.4891725207784183
Mobile Prepared Food Vendor,1.0666666666666667,2.6,1.1666666666666667,0.41722745625841196,0.0,0.0
PRIVATE SCHOOL,1.532258064516129,3.661290322580645,2.7580645161290325,1.0,0.08844086021505371,0.43581849819301305
Restaurant,1.2959093211752786,5.956180344478216,3.1962386018237083,0.7041664450780742,0.27968169537318466,0.5558163805824263
STADIUM,1.0363636363636364,14.6,4.818181818181818,0.37929768750764725,0.9999999999999999,1.0000000000000002
School,1.3894661177546885,4.0386852251192575,2.6700646931974124,0.8212698378356129,0.11989043542660477,0.4117189616225279
Shared Kitchen,1.3136094674556213,4.118343195266272,2.591715976331361,0.7263214061019219,0.12652859960552265,0.3902624665471777
Shared Kitchen User (Long Term),1.3653846153846154,3.0673076923076925,1.9711538461538463,0.7911274459053732,0.038942307692307665,0.22031599106287908
Shelter,1.4553571428571428,4.464285714285714,3.2767857142857144,0.9037444722168813,0.15535714285714286,0.5778749259039717
Special Event,1.3467336683417086,4.316582914572864,2.7939698492462313,0.7677823843308063,0.1430485762144053,0.4456514939844451
TAVERN,0.891213389121339,6.129707112970712,4.464435146443515,0.19761568221109727,0.2941422594142259,0.9031233181131619
Wholesale,0.9451219512195121,4.658536585365853,3.606707317073171,0.26509207891540565,0.17154471544715444,0.6682269001113248
