Month,Risk,Facility Type,total_inspections,failed_inspections,Treemap Failure Rate
2010Q1,Risk 1 (High),AFTER SCHOOL PROGRAM,1,0,0.0
2010Q1,Risk 1 (High),ASSISSTED LIVING,1,0,0.0
2010Q1,Risk 1 (High),ASSISTED LIVING,2,0,0.0
2010Q1,Risk 1 (High),Bakery,18,5,27.78
2010Q1,Risk 1 (High),COLLEGE,1,0,0.0
2010Q1,Risk 1 (High),CULINARY ARTS SCHOOL,1,0,0.0
2010Q1,Risk 1 (High),CULINARY SCHOOL,1,0,0.0
2010Q1,Risk 1 (High),Catering,13,3,23.08
2010Q1,Risk 1 (High),Children's Services Facility,32,12,37.5
2010Q1,Risk 1 (High),Church Kitchen,1,0,0.0
2010Q1,Risk 1 (High),"DAYCARE 2-6, UNDER 6",2,0,0.0
2010Q1,Risk 1 (High),Daycare (2 - 6 Years),59,23,38.98
2010Q1,Risk 1 (High),Daycare (2 Years),2,0,0.0
2010Q1,Risk 1 (High),Daycare (Under 2 Years),13,4,30.77
2010Q1,Risk 1 (High),Daycare Above and Under 2 Years,44,4,9.09
2010Q1,Risk 1 (High),Daycare Combo 1586,17,5,29.41
2010Q1,Risk 1 (High),Deli,2,1,50.0
2010Q1,Risk 1 (High),GROCERY/CAFE,2,1,50.0
2010Q1,Risk 1 (High),Golden Diner,9,2,22.22
2010Q1,Risk 1 (High),Grocery Store,148,26,17.57
2010Q1,Risk 1 (High),Hospital,11,2,18.18
2010Q1,Risk 1 (High),Kids Cafe',1,0,0.0
2010Q1,Risk 1 (High),Liquor,5,3,60.0
2010Q1,Risk 1 (High),Long Term Care,114,26,22.81
2010Q1,Risk 1 (High),Long Term Care Facility,3,1,33.33
2010Q1,Risk 1 (High),Long-Term Care Facility,1,0,0.0
2010Q1,Risk 1 (High),NURSING HOME,4,0,0.0
2010Q1,Risk 1 (High),Pool,1,0,0.0
2010Q1,Risk 1 (High),RESTUARANT AND BAR,1,1,100.0
2010Q1,Risk 1 (High),Restaurant,1883,418,22.2
2010Q1,Risk 1 (High),School,337,37,10.98
2010Q1,Risk 1 (High),Shared Kitchen,3,1,33.33
2010Q1,Risk 1 (High),Special Event,3,1,33.33
2010Q1,Risk 1 (High),WHOLESALE BAKERY,1,0,0.0
2010Q1,Risk 1 (High),Wholesale,3,2,66.67
2010Q1,Risk 1 (High),cooking school,1,0,0.0
2010Q1,Risk 1 (High),incubator,1,0,0.0
2010Q1,Risk 2 (Medium),BANQUET HALL,1,1,100.0
2010Q1,Risk 2 (Medium),Bakery,23,7,30.43
2010Q1,Risk 2 (Medium),CANDY/GELATO,1,0,0.0
2010Q1,Risk 2 (Medium),COFFEE SHOP,1,0,0.0
2010Q1,Risk 2 (Medium),COMMISSARY,2,0,0.0
2010Q1,Risk 2 (Medium),Catering,1,0,0.0
2010Q1,Risk 2 (Medium),Coffee shop,1,0,0.0
2010Q1,Risk 2 (Medium),Daycare Above and Under 2 Years,2,1,50.0
2010Q1,Risk 2 (Medium),GAS STATION,1,0,0.0
2010Q1,Risk 2 (Medium),GAS STATION/MINI MART,4,3,75.0
2010Q1,Risk 2 (Medium),GAS STATION/RESTAURANT,1,0,0.0
2010Q1,Risk 2 (Medium),Grocery Store,160,59,36.88
2010Q1,Risk 2 (Medium),ICE CREAM SHOP,1,1,100.0
2010Q1,Risk 2 (Medium),JUICE AND SALAD BAR,2,1,50.0
2010Q1,Risk 2 (Medium),JUICE BAR,1,1,100.0
2010Q1,Risk 2 (Medium),KIOSK,22,0,0.0
2010Q1,Risk 2 (Medium),LIVE POULTRY,3,2,66.67
2010Q1,Risk 2 (Medium),Liquor,2,1,50.0
2010Q1,Risk 2 (Medium),RESTAURANT/BAR,2,1,50.0
2010Q1,Risk 2 (Medium),RIVERWALK CAFE,1,1,100.0
2010Q1,Risk 2 (Medium),Restaurant,511,113,22.11
